emoji,name,group,sub_group,codepoints,labels
👨🏿‍🎓,man student: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F393,
👩‍🎓,woman student,People & Body,person-role,1F469 200D 1F393,
👩🏻‍🎓,woman student: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F393,
👩🏼‍🎓,woman student: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F393,
👩🏽‍🎓,woman student: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F393,
👩🏾‍🎓,woman student: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F393,
👩🏿‍🎓,woman student: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F393,
👨‍🏫,man teacher,People & Body,person-role,1F468 200D 1F3EB,
👨🏻‍🏫,man teacher: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3EB,
👨🏼‍🏫,man teacher: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3EB,
👨🏽‍🏫,man teacher: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3EB,
👨🏾‍🏫,man teacher: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3EB,
👨🏿‍🏫,man teacher: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3EB,
👩‍🏫,woman teacher,People & Body,person-role,1F469 200D 1F3EB,
👩🏻‍🏫,woman teacher: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3EB,
👩🏼‍🏫,woman teacher: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3EB,
👩🏽‍🏫,woman teacher: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3EB,
👩🏾‍🏫,woman teacher: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3EB,
👩🏿‍🏫,woman teacher: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3EB,
👨‍⚖️,man judge,People & Body,person-role,1F468 200D 2696 FE0F,
👨‍⚖,man judge,People & Body,person-role,1F468 200D 2696,
👨🏻‍⚖️,man judge: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2696 FE0F,
👨🏻‍⚖,man judge: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2696,
👨🏼‍⚖️,man judge: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2696 FE0F,
👨🏼‍⚖,man judge: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2696,
👨🏽‍⚖️,man judge: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2696 FE0F,
👨🏽‍⚖,man judge: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2696,
👨🏾‍⚖️,man judge: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2696 FE0F,
👨🏾‍⚖,man judge: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2696,
👨🏿‍⚖️,man judge: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2696 FE0F,
👨🏿‍⚖,man judge: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2696,
👩‍⚖️,woman judge,People & Body,person-role,1F469 200D 2696 FE0F,
👩‍⚖,woman judge,People & Body,person-role,1F469 200D 2696,
👩🏻‍⚖️,woman judge: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2696 FE0F,
👩🏻‍⚖,woman judge: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2696,
👩🏼‍⚖️,woman judge: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2696 FE0F,
👩🏼‍⚖,woman judge: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2696,
👩🏽‍⚖️,woman judge: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2696 FE0F,
👩🏽‍⚖,woman judge: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2696,
👩🏾‍⚖️,woman judge: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2696 FE0F,
👩🏾‍⚖,woman judge: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2696,
👩🏿‍⚖️,woman judge: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2696 FE0F,
👩🏿‍⚖,woman judge: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2696,
👨‍🌾,man farmer,People & Body,person-role,1F468 200D 1F33E,
👨🏻‍🌾,man farmer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F33E,
👨🏼‍🌾,man farmer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F33E,
👨🏽‍🌾,man farmer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F33E,
👨🏾‍🌾,man farmer: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F33E,
👨🏿‍🌾,man farmer: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F33E,
👩‍🌾,woman farmer,People & Body,person-role,1F469 200D 1F33E,
👩🏻‍🌾,woman farmer: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F33E,
👩🏼‍🌾,woman farmer: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F33E,
👩🏽‍🌾,woman farmer: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F33E,
👩🏾‍🌾,woman farmer: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F33E,
👩🏿‍🌾,woman farmer: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F33E,
👨‍🍳,man cook,People & Body,person-role,1F468 200D 1F373,
👨🏻‍🍳,man cook: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F373,
👨🏼‍🍳,man cook: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F373,
👨🏽‍🍳,man cook: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F373,
👨🏾‍🍳,man cook: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F373,
👨🏿‍🍳,man cook: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F373,
👩‍🍳,woman cook,People & Body,person-role,1F469 200D 1F373,
👩🏻‍🍳,woman cook: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F373,
👩🏼‍🍳,woman cook: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F373,
👩🏽‍🍳,woman cook: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F373,
👩🏾‍🍳,woman cook: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F373,
👩🏿‍🍳,woman cook: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F373,
👨‍🔧,man mechanic,People & Body,person-role,1F468 200D 1F527,
👨🏻‍🔧,man mechanic: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F527,
👨🏼‍🔧,man mechanic: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F527,
👨🏽‍🔧,man mechanic: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F527,
👨🏾‍🔧,man mechanic: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F527,
👨🏿‍🔧,man mechanic: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F527,
👩‍🔧,woman mechanic,People & Body,person-role,1F469 200D 1F527,
👩🏻‍🔧,woman mechanic: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F527,
👩🏼‍🔧,woman mechanic: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F527,
👩🏽‍🔧,woman mechanic: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F527,
👩🏾‍🔧,woman mechanic: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F527,
👩🏿‍🔧,woman mechanic: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F527,
👨‍🏭,man factory worker,People & Body,person-role,1F468 200D 1F3ED,
👨🏻‍🏭,man factory worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3ED,
👨🏼‍🏭,man factory worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3ED,
👨🏽‍🏭,man factory worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3ED,
👨🏾‍🏭,man factory worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3ED,
👨🏿‍🏭,man factory worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3ED,
👩‍🏭,woman factory worker,People & Body,person-role,1F469 200D 1F3ED,
👩🏻‍🏭,woman factory worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3ED,
👩🏼‍🏭,woman factory worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3ED,
👩🏽‍🏭,woman factory worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3ED,
👩🏾‍🏭,woman factory worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3ED,
👩🏿‍🏭,woman factory worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3ED,
👨‍💼,man office worker,People & Body,person-role,1F468 200D 1F4BC,
👨🏻‍💼,man office worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BC,
👨🏼‍💼,man office worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BC,
👨🏽‍💼,man office worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BC,
👨🏾‍💼,man office worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BC,
👨🏿‍💼,man office worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BC,
👩‍💼,woman office worker,People & Body,person-role,1F469 200D 1F4BC,
👩🏻‍💼,woman office worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BC,
👩🏼‍💼,woman office worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BC,
👩🏽‍💼,woman office worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BC,
👩🏾‍💼,woman office worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BC,
👩🏿‍💼,woman office worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BC,
👨‍🔬,man scientist,People & Body,person-role,1F468 200D 1F52C,
👨🏻‍🔬,man scientist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F52C,
👨🏼‍🔬,man scientist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F52C,
👨🏽‍🔬,man scientist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F52C,
👨🏾‍🔬,man scientist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F52C,
👨🏿‍🔬,man scientist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F52C,
👩‍🔬,woman scientist,People & Body,person-role,1F469 200D 1F52C,
👩🏻‍🔬,woman scientist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F52C,
👩🏼‍🔬,woman scientist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F52C,
👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F52C,
👩🏾‍🔬,woman scientist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F52C,
👩🏿‍🔬,woman scientist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F52C,
👨‍💻,man technologist,People & Body,person-role,1F468 200D 1F4BB,
👨🏻‍💻,man technologist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BB,
👨🏼‍💻,man technologist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BB,
👨🏽‍💻,man technologist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BB,
👨🏾‍💻,man technologist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BB,
👨🏿‍💻,man technologist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BB,
👩‍💻,woman technologist,People & Body,person-role,1F469 200D 1F4BB,
👩🏻‍💻,woman technologist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BB,
👩🏼‍💻,woman technologist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BB,
👩🏽‍💻,woman technologist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BB,
👩🏾‍💻,woman technologist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BB,
👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BB,
👨‍🎤,man singer,People & Body,person-role,1F468 200D 1F3A4,
👨🏻‍🎤,man singer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A4,
👨🏼‍🎤,man singer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A4,
👨🏽‍🎤,man singer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A4,
👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A4,
👨🏿‍🎤,man singer: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A4,
👩‍🎤,woman singer,People & Body,person-role,1F469 200D 1F3A4,
👩🏻‍🎤,woman singer: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A4,
👩🏼‍🎤,woman singer: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A4,
👩🏽‍🎤,woman singer: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A4,
👩🏾‍🎤,woman singer: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A4,
👩🏿‍🎤,woman singer: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A4,
👨‍🎨,man artist,People & Body,person-role,1F468 200D 1F3A8,
👨🏻‍🎨,man artist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A8,
👨🏼‍🎨,man artist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A8,
👨🏽‍🎨,man artist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A8,
👨🏾‍🎨,man artist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A8,
👨🏿‍🎨,man artist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A8,
👩‍🎨,woman artist,People & Body,person-role,1F469 200D 1F3A8,
👩🏻‍🎨,woman artist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A8,
👩🏼‍🎨,woman artist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A8,
👩🏽‍🎨,woman artist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A8,
👩🏾‍🎨,woman artist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A8,
👩🏿‍🎨,woman artist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A8,
👨‍✈️,man pilot,People & Body,person-role,1F468 200D 2708 FE0F,
👨‍✈,man pilot,People & Body,person-role,1F468 200D 2708,
👨🏻‍✈️,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708 FE0F,
👨🏻‍✈,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708,
👨🏼‍✈️,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708 FE0F,
👨🏼‍✈,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708,
👨🏽‍✈️,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708 FE0F,
👨🏽‍✈,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708,
👨🏾‍✈️,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708 FE0F,
👨🏾‍✈,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708,
👨🏿‍✈️,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708 FE0F,
👨🏿‍✈,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708,
👩‍✈️,woman pilot,People & Body,person-role,1F469 200D 2708 FE0F,
👩‍✈,woman pilot,People & Body,person-role,1F469 200D 2708,
👩🏻‍✈️,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708 FE0F,
👩🏻‍✈,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708,
👩🏼‍✈️,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708 FE0F,
👩🏼‍✈,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708,
👩🏽‍✈️,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708 FE0F,
👩🏽‍✈,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708,
👩🏾‍✈️,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708 FE0F,
👩🏾‍✈,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708,
👩🏿‍✈️,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708 FE0F,
👩🏿‍✈,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708,
👨‍🚀,man astronaut,People & Body,person-role,1F468 200D 1F680,
👨🏻‍🚀,man astronaut: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F680,
👨🏼‍🚀,man astronaut: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F680,
👨🏽‍🚀,man astronaut: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F680,
👨🏾‍🚀,man astronaut: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F680,
👨🏿‍🚀,man astronaut: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F680,
👩‍🚀,woman astronaut,People & Body,person-role,1F469 200D 1F680,
👩🏻‍🚀,woman astronaut: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F680,
👩🏼‍🚀,woman astronaut: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F680,
👩🏽‍🚀,woman astronaut: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F680,
👩🏾‍🚀,woman astronaut: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F680,
👩🏿‍🚀,woman astronaut: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F680,
👨‍🚒,man firefighter,People & Body,person-role,1F468 200D 1F692,
👨🏻‍🚒,man firefighter: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F692,
👨🏼‍🚒,man firefighter: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F692,
👨🏽‍🚒,man firefighter: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F692,
👨🏾‍🚒,man firefighter: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F692,
👨🏿‍🚒,man firefighter: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F692,
👩‍🚒,woman firefighter,People & Body,person-role,1F469 200D 1F692,
👩🏻‍🚒,woman firefighter: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F692,
👩🏼‍🚒,woman firefighter: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F692,
👩🏽‍🚒,woman firefighter: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F692,
👩🏾‍🚒,woman firefighter: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F692,
👩🏿‍🚒,woman firefighter: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F692,
👮,police officer,People & Body,person-role,1F46E,
👮🏻,police officer: light skin tone,People & Body,person-role,1F46E 1F3FB,
👮🏼,police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC,
👮🏽,police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD,
👮🏾,police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE,
👮🏿,police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF,
👮‍♂️,man police officer,People & Body,person-role,1F46E 200D 2642 FE0F,
👮‍♂,man police officer,People & Body,person-role,1F46E 200D 2642,
👮🏻‍♂️,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642 FE0F,
👮🏻‍♂,man police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2642,
👮🏼‍♂️,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642 FE0F,
👮🏼‍♂,man police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2642,
👮🏽‍♂️,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642 FE0F,
👮🏽‍♂,man police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2642,
👮🏾‍♂️,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642 FE0F,
👮🏾‍♂,man police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2642,
👮🏿‍♂️,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642 FE0F,
👮🏿‍♂,man police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2642,
👮‍♀️,woman police officer,People & Body,person-role,1F46E 200D 2640 FE0F,
👮‍♀,woman police officer,People & Body,person-role,1F46E 200D 2640,
👮🏻‍♀️,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640 FE0F,
👮🏻‍♀,woman police officer: light skin tone,People & Body,person-role,1F46E 1F3FB 200D 2640,
👮🏼‍♀️,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640 FE0F,
👮🏼‍♀,woman police officer: medium-light skin tone,People & Body,person-role,1F46E 1F3FC 200D 2640,
👮🏽‍♀️,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640 FE0F,
👮🏽‍♀,woman police officer: medium skin tone,People & Body,person-role,1F46E 1F3FD 200D 2640,
👮🏾‍♀️,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640 FE0F,
👮🏾‍♀,woman police officer: medium-dark skin tone,People & Body,person-role,1F46E 1F3FE 200D 2640,
👮🏿‍♀️,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640 FE0F,
👮🏿‍♀,woman police officer: dark skin tone,People & Body,person-role,1F46E 1F3FF 200D 2640,
🕵️,detective,People & Body,person-role,1F575 FE0F,
🕵,detective,People & Body,person-role,1F575,
🕵🏻,detective: light skin tone,People & Body,person-role,1F575 1F3FB,
🕵🏼,detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC,
🕵🏽,detective: medium skin tone,People & Body,person-role,1F575 1F3FD,
🕵🏾,detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE,
🕵🏿,detective: dark skin tone,People & Body,person-role,1F575 1F3FF,
🕵️‍♂️,man detective,People & Body,person-role,1F575 FE0F 200D 2642 FE0F,
🕵‍♂️,man detective,People & Body,person-role,1F575 200D 2642 FE0F,
🕵️‍♂,man detective,People & Body,person-role,1F575 FE0F 200D 2642,
🕵‍♂,man detective,People & Body,person-role,1F575 200D 2642,
🕵🏻‍♂️,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642 FE0F,
🕵🏻‍♂,man detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2642,
🕵🏼‍♂️,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642 FE0F,
🕵🏼‍♂,man detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2642,
🕵🏽‍♂️,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642 FE0F,
🕵🏽‍♂,man detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2642,
🕵🏾‍♂️,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642 FE0F,
🕵🏾‍♂,man detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2642,
🕵🏿‍♂️,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642 FE0F,
🕵🏿‍♂,man detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2642,
🕵️‍♀️,woman detective,People & Body,person-role,1F575 FE0F 200D 2640 FE0F,
🕵‍♀️,woman detective,People & Body,person-role,1F575 200D 2640 FE0F,
🕵️‍♀,woman detective,People & Body,person-role,1F575 FE0F 200D 2640,
🕵‍♀,woman detective,People & Body,person-role,1F575 200D 2640,
🕵🏻‍♀️,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640 FE0F,
🕵🏻‍♀,woman detective: light skin tone,People & Body,person-role,1F575 1F3FB 200D 2640,
🕵🏼‍♀️,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640 FE0F,
🕵🏼‍♀,woman detective: medium-light skin tone,People & Body,person-role,1F575 1F3FC 200D 2640,
🕵🏽‍♀️,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640 FE0F,
🕵🏽‍♀,woman detective: medium skin tone,People & Body,person-role,1F575 1F3FD 200D 2640,
🕵🏾‍♀️,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640 FE0F,
🕵🏾‍♀,woman detective: medium-dark skin tone,People & Body,person-role,1F575 1F3FE 200D 2640,
🕵🏿‍♀️,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640 FE0F,
🕵🏿‍♀,woman detective: dark skin tone,People & Body,person-role,1F575 1F3FF 200D 2640,
💂,guard,People & Body,person-role,1F482,
💂🏻,guard: light skin tone,People & Body,person-role,1F482 1F3FB,
💂🏼,guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC,
💂🏽,guard: medium skin tone,People & Body,person-role,1F482 1F3FD,
💂🏾,guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE,
💂🏿,guard: dark skin tone,People & Body,person-role,1F482 1F3FF,
💂‍♂️,man guard,People & Body,person-role,1F482 200D 2642 FE0F,
💂‍♂,man guard,People & Body,person-role,1F482 200D 2642,
💂🏻‍♂️,man guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2642 FE0F,
💂🏻‍♂,man guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2642,
💂🏼‍♂️,man guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2642 FE0F,
💂🏼‍♂,man guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2642,
💂🏽‍♂️,man guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2642 FE0F,
💂🏽‍♂,man guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2642,
💂🏾‍♂️,man guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2642 FE0F,
💂🏾‍♂,man guard: medium-dark skin tone,People & Body,person-role,1F482 1F3FE 200D 2642,
💂🏿‍♂️,man guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2642 FE0F,
💂🏿‍♂,man guard: dark skin tone,People & Body,person-role,1F482 1F3FF 200D 2642,
💂‍♀️,woman guard,People & Body,person-role,1F482 200D 2640 FE0F,
💂‍♀,woman guard,People & Body,person-role,1F482 200D 2640,
💂🏻‍♀️,woman guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2640 FE0F,
💂🏻‍♀,woman guard: light skin tone,People & Body,person-role,1F482 1F3FB 200D 2640,
💂🏼‍♀️,woman guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2640 FE0F,
💂🏼‍♀,woman guard: medium-light skin tone,People & Body,person-role,1F482 1F3FC 200D 2640,
💂🏽‍♀️,woman guard: medium skin tone,People & Body,person-role,1F482 1F3FD 200D 2640 FE0F,
